id,country,country_code,document,photo_size,output_pixels,file_size,head_height_rule,background,notes,official_source,official_source_url,verified_date
us_passport,United States,US,US Passport,2x2 in (51x51 mm),1200x1200 px (600 dpi),,25-35 mm (about 50-69% of photo height),Plain white or off-white,Photo must be taken within the last 6 months; no software/AI editing; no scans for upload.,travel.state.gov - U.S. passport photo requirements,https://travel.state.gov/en/passports/apply/help/photos.html,2026-08-19
uk_passport,United Kingdom,GB,UK Passport,Digital >=600x750 px; printed 45x35 mm,827x1063 px (600 dpi; >=600x750 compliant),50 KB - 10 MB,Head height (crown to chin) 29-34 mm (64-76% of photo height),Plain light-coloured (digital); plain cream or light grey (printed),Digital photo for online applications; photo must not be altered with software.,gov.uk - passport photo requirements,https://www.gov.uk/photos-for-passports,2026-09-15
ca_passport,Canada,CA,Canada Passport (online renewal),Digital 3:2 portrait (official 1200x1800-3000x4500 px),1200x1800 px,200 KB - 5 MB,Head height (chin to top of head) 45-50% of photo height,Pure white or light,"Online renewal only; must be taken by a commercial photographer <=6 months before submission, unaltered original camera file, no scans.",canada.ca - passport photo specifications,https://www.canada.ca/en/immigration-refugees-citizenship/services/canadian-passports/photos.html,2026-09-15
us_visa,United States,US,US Visa (DS-160),2x2 in (51x51 mm),600x600 px,<=240 KB,Head height 50-69% of photo height,Plain white or off-white,Glasses not allowed (rare medical exceptions need a doctor's statement); photo within last 6 months.,travel.state.gov - DS-160 photo requirements,https://travel.state.gov/content/travel/en/us-visas/visa-information-resources/photos.html,2026-08-12
uk_visa,United Kingdom,GB,UK Visa,Digital >=600x750 px (no printed step),827x1063 px (>=600x750 compliant),50 KB - 6 MB,"Head, shoulders and upper body in frame (official digital rule)","Plain light-coloured, no shadows",Digital only; never altered; background never replaced.,gov.uk Home Office - photo for visa application,https://www.gov.uk/guidance/how-to-take-a-photo-for-a-visa-application-or-permission,2026-09-15
ca_visa,Canada,CA,Canada Visa / Temporary Resident,35x45 mm,420x540 px,60-240 KB,Head height 31-36 mm,Plain white or light-coloured,Digital 420x540 file plus print sheet for paper applications.,canada.ca - IRCC temporary resident visa photograph specifications,https://www.canada.ca/en/immigration-refugees-citizenship/services/application/application-forms-guides/temporary-resident-visa-application-photograph-specifications.html,2026-09-15
in_evisa,India,IN,India e-Visa,Square JPEG — official: “the height and width of the Photo must be equal”; we deliver 51x51 mm (2x2 in) @300 dpi,600x600 px,10 KB - 1 MB,"Head centred in the frame, full head from top of hair to bottom of chin (the official page states no head-height ratio)",Plain light-coloured or white; no shadows on the face or background; no borders,"Square JPEG; the official page states no pixel size and no DPI — 600x600 px is our delivery file, which sits inside the official 10 KB–1 MB range. No AI editing. Re-verified against indianvisaonline.gov.in/evisa/tvoa.html on 2026-09-12.",indianvisaonline.gov.in - e-Visa photo requirements,https://indianvisaonline.gov.in/evisa/tvoa.html,2026-09-15
in_passport,India,IN,India Passport (printed photo),4.5x3.5 cm (45x35 mm) colour print,827x1063 px (600 dpi),- (printed photo; no official digital upload),Frontal view of the full face (official portal does not state a head % range),White,"Official Passport Seva portal FAQ/Guide (verified live 2026-08-12 by rendering the portal): 'Passport size coloured photographs (4.5 cm length x 3.5 cm width) with white background'. Printed photos are required for minors under 4, Camp applications and Diplomatic/Official forms; ordinary adult applicants have the photo captured digitally at the PSK. Black & white, polaroid, dark glasses and uniform photos are not accepted. Overseas applications (e.g. from the US/Canada through VFS Global or Indian missions) use the official overseas spec: 2x2 in (51x51 mm) colour photograph, head height 25-35 mm (about 50-69% of photo height), plain white background, no retouching - verified 2026-08-17 against VFS Global's India passport services photo specification PDF (https://visa.vfsglobal.com/one-pager/india/united-states-of-america/passport-services/pdf/photo-specifiation.pdf).",passportindia.gov.in — Passport Seva official portal (FAQ & Guides),https://www.passportindia.gov.in/psp/Faqs,2026-08-12
in_dl,India,IN,India Driving Licence,35x45 mm (1.38x1.77 in),413x531 px (300 dpi),20-50 KB (Sarathi/Parivahan online upload),Passport-standard: full face visible; official portal does not publish a head % range,Plain white,"India driving licence photo for the Sarathi/Parivahan online upload: 35x45 mm, white background, 300 DPI, 20-50 KB. Figures cross-checked 2026-08-20 against several independent compliance references (ilovephoto.in, idphotosnap.com, visafoto.com, passport-size-photo.com); check the current rule at sarathi.parivahan.gov.in before you submit. We deliver a 413x531 px upload file tuned to 20-50 KB plus a 4x6 in print sheet (4 per sheet) for RTO physical submissions.",Parivahan Sarathi - online driving licence portal (photo upload),https://sarathi.parivahan.gov.in/,2026-08-20
cn_passport,China,CN,China Passport,33x48 mm,780x1134 px (600 dpi),,Head height (top of hair to chin) about 31.5 mm; 5 mm from top of photo to top of hair,White or light background,Standard Chinese passport photo. Official embassy guidance cited by the visa/passport application centres.,China Embassy / MFA consular guidance,http://www.china-embassy.org/chn/lszj/hzlxz/t1644169.htm,2026-08-09
